# 游戏内置拼音输入法词典（由 tools/gen_pinyin_dict.py 从 Unicode Unihan 生成）
# 行格式：@<拼音>	<词>  或  $<拼音>	<字…>。拼音小写无声调，ü→v。
$cei	𤭢
$cen	岑嵾涔笒㞥㟥䅾䤁䨙䲋𣡎𦊃𨁊𨥣𨱼𩅨𩅮𩻛𬱣𱈔
$ceng	层層曾蹭噌嶒曽驓㣒㬝䁬䉕竲𠟂𡃆𡪠𡾓𢅋𤛢𦠇𧲅𫘯
$cha	查察差茶插詫诧刹剎䟕侘偛叉嗏垞奼姹岔嵖扠挿揷搽杈槎檫汊猹疀碴秅紁臿艖茬衩詧蹅鍤鑔锸镲靫餷馇𤜯𥻗𩟔㛼㢉㢒㣾㤞㪯㫅㮑䁟䅊䒲䓭䕓䡨䤩䶪肞銟𠝞𠞊𠽹𡋨𡌚𡝐𡝙𡨀𡵌𢔣𢘹𢣼𢭅𣆗𣍏𣘤𣘻𣱱𤜫𤞠𤳅𤳵𤵾𤶠𥃀𥌀𥑥𥥸𥫢𦉆𦑈𦑣𦛝𦝥𦦘𦦜𦦱𦳘𧠈𧫗𧶵𨀸𨃓𨆇𨙳𨩨𨪺𨼑𩝟𩴳𪑂𪑨𪒼𪘾𫟿𬤌𬭈𬭠𬺕𮵿
$chai	柴拆差豺侪儕喍囆犲瘥祡茝虿蠆袃釵钗齜㑪㳗㼮㾹䐤䓱䘍䜺芆訍𡟭𡺵𢹓𤞗𤠌𥐟𦐰𦑏𧀱𧒨𧔴𧕧𧪘𧸿𨌅𩑐𲊹
$chan	产產顫颤蝉蟬纏缠鏟铲搀攙闡阐饞馋丳僝儃儳冁刬剗剷劖啴嘽嚵囅壥婵嬋孱嵼巉幝幨廛忏懴懺掺摲旵梴棎欃毚浐湹滻潹潺澶瀍瀺灛煘燀獑産磛禅禪簅緾繟纒羼艬蒇蕆蟾裧襜覘觇諂譂讒谄谗躔辴辿酁鉆鋋鋓鑱镡镵韂骣𬊤㙴㙻㚲㢆㢟㤐㦃㬄㯆㰫㶣㸥㹌㹽㺗㺥䀡䂁䊲䐮䑎䜛䠨䡲䣑䤘䤫䥀䧯䩶䪜䫮䱿䴼䵐摌斺硟誗讇鄽閳𠁷𠋷𠐩𠑆𠑑𠑡𠣄𠹖𡍌𡎻𡖞𡖤𡝫𡮿𡶴𢁧𢌚𢥋𢱟𢷹𢺟𢽝𣃘𣔵𣤱𤗻𤚍𤪮𤮭𤯥𤴿𤸦𤼋𥊓𥭔𦆀𦈎𦝟𦢙𦸰𧈪𧐲𧓋𧕃𧠛𧥓𧨗𧬦𧴃𧾡𨄉𨇝𨇦𨊝𨔢𨩪𨪑𨬖𨮻𨲵𨳂𨵍𨷭𨼒𨽊𩖌𩝚𩟶𩥮𩮏𩽝𪏁𪏂𪏋𪏦𪓄𪖎𪗂𪙞𪚃𫔏𫞣𫟠𬡻𬤛𬰷𬳲𬺅𮣴𮸊𰓼𰗡𰡔𰵭𰸎𱋴𱐙𱟫
$chang	常長长场場厂廠唱肠腸倡嘗尝敞暢畅偿償䮖䱽仩伥倀厰嚐塲娼嫦徜怅悵惝昌昶椙氅淐焻猖琩瑒瑺甞膓苌菖萇蟐裮誯鋹鋿錩鏛镸閶阊韔鬯鯧鱨鲳鲿鼚𪂇𬬮㙊㦂㫤䅛䗅䗉䠆䩨䯴䲝仧僘兏晿瓺畼锠𠙁𠚊𡭿𢁝𢗺𢢌𤢄𤽣𤿼𥇔𥋤𥗊𥟚𥠴𥫅𦰱𦼳𧀄𨣛𨱮𨷇𩲹𪁺𪄹𪉨𫊪𫏃𬑇𬸶𮧴𮸟𰈇𱈘𱌊𱴐
$chao	朝超潮吵抄嘲巢鈔钞炒䫿勦巣弨怊晁樔漅焣焯煼牊眧窲罺耖訬謿轈鄛麨鼂𢁾𤙴𪍑㶤㷅䎐䏚䜈䫸䰫仦仯巐欩觘鼌𠰉𡏮𡡊𡯴𡻝𡼼𣰩𤰬𥕘𥲀𥿷𦙧𦨖𦸛𦾱𧧠𨄓𨌬𨗡𨢪𨨚𨴡𩈎𩖥𩱈𩱦𪍈𪎊𬊂𬨓𰵏𱆍𱆙𱋕𱋜𱋢
$che	車车彻徹撤扯㬚㿭俥偖唓坼屮掣撦澈烢砗硨硩莗迠𤊿㒤㔭㤴㥉㨋㳧㵔㾝䁤䋲䒆䚢䛸䜠䞣䧪䰩伡勶爡瞮聅蛼頙𡷖𢇛𢊏𣨊𤕛𤖷𤗙𤥭𤹞𥯥𥿊𦈈𦓍𦛖𧙝𧼳𨀠𨹡𩂻𩎚𩒷𩗙𩴟𪎺𪠳𰡰𰲬𱰗
$chen	沉晨趁塵尘衬襯陈陳称稱臣忱䣅儭嗔嚫墋宸愖抻捵揨梣榇樄櫬沈煁琛疢瞋碜磣綝縝茞莐蔯螴諃諶謓讖谌谶賝贂趂踸辰郴鈂鍖霃鷐麎齓齔龀𬘭㕴㥲㧱㫳㴴㽸䀼䆣䐜䑣䒞䜟䞋䟢䠳䢅䢈䢻䤟䫈䫖夦敐曟瘎硶莀薼訦趻軙迧醦𠋆𢆺𢎕𣀍𣞟𤘣𤝚𤟸𤡳𤹛𥉜𥔪𥗒𥞁𥫹𦁄𦁟𧆂𧡬𧨡𧭼𧿒𨑌𨣔𨻖𨼌𨼐𨼤𩅌𩇖𪁏𫈟𫎩𫎪𫜀𫮅𬬵𮠳𮭦𰈍𰬙𰳄𰵒𰵱𰺭𰾘
